country,pind,pindo,ctrycd,col_uk,t_indep,col_uka,col_espa,col_otha,legor_uk,legor_so,legor_fr,legor_ge,legor_sc,prot80,catho80,confu,avelf,govef,graft,logyl,loga,yrsopen,gadp,engfrac,eurfrac,frankrom,latitude,gastil,cgexp,cgrev,ssw,rgdph,trade,prop1564,prop65,federal,africa,laam,eduger,spropn,yearele,yearreg,seats,maj,pres,lyp,semi,majpar,majpres,propres,dem_age,lpop,lat01,age,polityIV,spl,cpi9500,du_60ctry,magn,sdm,asiae,oecd,mining_gdp,gini_8090,con2150,con5180,con81,list,maj_bad,maj_gin,maj_old,pres_bad,pres_gin,pres_old,propar,wom_1st,yr_1st,wom_2nd,yr_2nd,wom_3rd,yr_3rd,wom_4th,yr_4th,LFTPARTY,FEMSUFRG,DEMOC,MARXLEN,FEMEDUC,FEMLABOR,FEMPROF,FEMORG,GDPPC,REL.CATH,REL.ISLM,REL.OTHR,RATIFIC,ABORTLEG
Japan,0.8666667,0.8666667,158,0,250,0,0,0,0,0,0,1,0,0.9,0.6,1,0.0098803,3.322024,3.55285,9.94306,8.40857,0.733,0.932,0,0,1.699,35.712,1.555556,20.50902,19.83897,8.291452,15255.63,18.75606,69.378,14.00771,0,0,0,99.85,1,1975.333,1952,508,1,0,9.632704,0,0.3333333,0,0,1868,4.828678,0.3968,0.66,10,-0.2776909,3.576667,1,0.3753021,0.0429439,0,1,0.2272086,34.2,0,1,0,67.73333,1.555556,34.2,0.66,0,0,0,0,7.3,2000,4.6,1996,2.7,1993,2.3,1990,8.2,1945,7,0,49,40,41.86046512,4,21581,0,0,1,1,1
Latvia,0,0,941,0,8,0,0,0.968,0,1,0,0,0,14.1,18.2,0,0.613722,4.864724,5.52715,,,,,,,,,2.25,31.39015,29.47863,12.92269,2936.436,106.1514,66.41887,12.9966,0,0,0,88.05714,0,1991,1991,133.6667,0,0,7.984952,0,0,0,0,1991,0.9392995,,0.045,8,-1.66478,6.833333,0,0.0499502,0.05,0,0,0.1581098,,0,0,1,133.6667,0,,0,0,,0,1,21,2002,17,1998,9,1995,15,1993, ,1918,6,0,51,47, ,2,3332,0,0,1,1,1
Luxembourg,0,1,137,0,160,0,0,0.36,0,0,1,0,0,1.2,93,0,0.2166667,1.652689,1.65749,10.46142,8.91999,0.8,1,0,0,5.639,49.78,1,40.17635,45.45095,21.32378,18801.71,188.9888,68.04094,14.23658,0,0,0,88.88,0,1918,1879,60,0,0,9.841703,0,0,0,0,1879,-0.908419,0.5531111,0.605,10,1.012643,1.3225,1,0.0666667,0.0666667,0,1,0.1407224,27,0,0,0,60,0,0,0,0,0,0,1,16.7,1999,20,1994,13.3,1989,,,71.7,1919,7,0,49,32,37.88819876,4,34155,1,0,0,1,1
Malawi,1,1,676,1,35,0.86,0,0,1,0,0,0,0,31.5,27.6,0,0.6224,6.24968,5.389066,6.95436,6.54722,0,0.503,0,0,2.539,-15.811,4.166667,25.76205,,,530.2225,62.4826,50.61634,2.589323,0,1,0,73.55,0,1994,1994,177,1,1,6.273297,0,0,1,0,1994,2.251866,0.1756778,0.03,0,-1.604963,5.9,0,1,1,0,0,,62,0,0,1,0,4.166667,62,0.03,4.166667,62,0.03,0,9.3,1999,5.6,1994,11.6,1992,,, ,1961,6,0,28,40,28.05755396,0,694,0,0,0,1,0
Malaysia,1,1,548,1,42,0.832,0,0,1,0,0,0,0,1.4,2.8,0,0.6103704,3.571808,3.733168,9.15605,8.02743,1,0.687,0,0,2.823,3.269,4.555555,24.47133,26.75087,1.457034,6459.11,176.0599,60.1374,3.999706,1,0,0,78.7375,0,1957,1957,185.3333,1,0,8.773247,0,1,0,0,1957,3.002818,0.0363222,0.215,10,1.135423,4.865,1,1,1,1,0,7.597346,49.675,0,1,0,0,4.555555,49.675,0.215,0,0,0,0,10.4,1999,7.8,1995,6.1,1990,,, ,1957,4,0,48,36,46.52406417,1,8865,0,1,0,1,0
Malta,0,1,181,1,35,0.86,0,0,0,0,1,0,0,0.5,97.3,0,0.1033333,3.742489,4.005234,9.70619,8.52926,0.535,0.622,0,0,4.586,35.887,1,40.98212,34.95761,13.84177,8195.759,190.4717,66.62973,10.96175,0,0,0,95.55714,0,1964,1964,65.88889,0,0,9.011372,0,0,0,0,1964,-1.001818,0.3987445,0.18,,-5.01684,,1,0.1974235,0.1884058,0,0,3.048202,,0,1,0,65.88889,0,,0,0,,0,1,9.2,1998,5.8,1996,1.5,1992,,, ,1947,7,0,45,23, ,1,13009,1,0,0,1,0
Mauritius,1,1,684,1,31,0.876,0,0,0,0,1,0,0,0.9,31.2,0,0.7084848,4.655652,4.327274,9.13435,8.57601,1,0.704,0.003,0.567,3.438,-20.232,1.611111,22.50179,21.64505,3.799618,6666.765,128.1165,65.95277,6.26111,0,1,0,80.17142,1,1968,1968,63.77778,1,0,8.80489,0,1,0,0,1968,0.1032242,0.2248,0.16,10,-1.067292,5.133333,1,0.3295861,,0,0,0.1313363,41.35,0,1,0,0,1.611111,41.35,0.16,0,0,0,0,5.7,2000,7.6,1995,2.8,1991,,, ,1956,7,0,48,26,35.06493506,3,13172,0,0,1,1,0
Mexico,0.6,0.6,273,0,189,0,0.244,0,0,0,1,0,0,1.2,94.7,0,0.1740741,4.642269,5.554252,9.63754,8.74995,0.2,0.592,0,0.88,1.509,16.759,3.777778,15.48577,15.1672,3.002081,6207.811,47.54999,59.50018,4.272914,1,0,1,85.87143,0.2,1994,1994,500,0,1,8.733563,1,0,0,1,1994,4.4944,0.1862111,0.03,2.666667,0.4022436,6.81,1,0.602,0.0239234,0,0,1.4904,50.5,0,0,1,200,0,0,0,3.777778,50.5,0.03,0,16,2000,17.4,1997,14.2,1994,7.6,1991, ,1947,4,0,47,28,43.18181818,1,7384,1,0,0,1,0
Namibia,0,0,728,0,9,0,0,0.964,1,0,0,0,0,64.2,19.1,0,0.7283,4.911178,4.236182,8.83613,7.70063,0.275,0.462,0.067,0.088,3.059,-17.979,2.444444,37.2732,33.23447,,2764.12,114.6249,53.96959,3.699706,0,1,0,105.025,0,1990,1990,78,0,1,7.924478,0,0,0,1,1990,0.4083683,0.1997667,0.05,8,-3.388912,4.666667,0,0.1695157,0.3026316,0,0,12.77462,,0,0,1,78,0,,0,2.444444,,0.05,0,25,1999,22.2,1994,6.9,1989,,, ,1989,6,0,56,24,40.82840237,0,4027,0,0,0,1,0
Nepal,1,1,558,0,250,0,0,0,1,0,0,0,0,0,0,0,0.45,,,,,4.089,,0,0,2.585,27.712,3.333333,16.97054,9.739206,0.3011621,1147.167,49.82251,53.77916,3.626628,0,0,0,76.7,0,1990,1990,197.4444,1,0,7.045051,0,1,0,0,1990,3.034151,0.3079111,0.05,5,-5.337309,,1,1,0.2054794,1,0,0.5063776,30,0,0,1,0,3.333333,30,0.05,0,0,0,0,0,1999,3.4,1994,1991,3.4,,, ,1951,5,0,20,32,36.30573248,0,1137,0,0,1,1,0
Netherlands,0,0,138,0,250,0,0,0,0,0,1,0,0,42.4,42.6,0,0.0634354,0.9395175,0.9471855,10.2594,8.7713,0.8,0.988,0,0,3.579,51.874,1,51.17833,47.6013,19.11685,13820.43,100.3399,68.47264,13.20252,0,0,0,117.1143,0,1917,1917,150,0,0,9.533903,0,0,0,0,1917,2.732273,0.5763778,0.415,10,-2.623437,1.111667,1,0.12,0.1371429,0,1,2.734597,29,0,0,0,150,0,0,0,0,0,0,1,36,1998,31.1,1994,,,,,45.3,1919,7,0,48,31,42.52873563,2,19238,0,0,0,1,1
